Text,clean_text,Sentiment
"I am a lover of coffee and will try almost any coffee product once. I own a coffee pod maker at work, and I have been using Senseo's medium roast and espresso pods for a few months, but after trying Marley Coffee, I do not think I can go back to Senseo. I am not demeaning Senseo's quality, but I am certainly highlighting my preference for Marley Coffee. I will admit that when it comes to pod coffee, I do not expect much, and that's probably why I have stuck to only one brand; Marley Coffee, however, went beyond my expectations. I like my coffee strong; therefore, I recommend one pours no more than 6 oz. per pod for a strong flavor (this is coming from a person who drinks `straight' coffee; I never add other ingredients or sweeteners)). On a side note, there was no particular exotic/fruity taste to this coffee, but the overall quality met my expectations and passed the ""will continue to buy"" test. Other perks: it's organic, natural, and tasty, which, in my book, is worth the price.",lover coffee try almost coffee product coffee pod maker work using senseo medium roast espresso pods months trying marley coffee think go back senseo demeaning senseo quality certainly highlighting preference marley coffee admit comes pod coffee expect much probably stuck one brand marley coffee however went beyond expectations like coffee strong therefore recommend one pours oz per pod strong flavor coming person drinks straight coffee never add ingredients sweeteners side note particular exotic fruity taste coffee overall quality met expectations passed continue buy test perks organic natural tasty book worth price,Positive
In the UK this is one of the most popular chocolate bars.  It is a light honeycomb bar covered in Cadburys Milk Chocolate. If you like toffee and chocolate you will love these!,uk one popular chocolate bars light honeycomb bar covered cadburys milk chocolate like toffee chocolate love,Positive
My daughter bought a Keurig coffee maker for my husband for Christmas. His favorite coffee is Starbucks House Blend so when I found that I could get the K cups I decided to get several for him for Christmas. They arrived very quickly and were just as described. He has been enjoying his coffee so it must be good.,daughter bought keurig coffee maker husband christmas favorite coffee starbucks house blend found could get k cups decided get several christmas arrived quickly described enjoying coffee must good,Positive
Comparable flavor to Starbucks and cost much less. I don't know why anyone would buy a 12 pack. All flavors are good as well.,comparable flavor starbucks cost much less know anyone would buy pack flavors good well,Positive
"Simply awful.  This product should be taken off the market immediately.  They did absolutely nothing for my 2-yr old dog's teeth.  I gave him about 4 per week until he almost choked to death on about the 10th one.  Awful, dangerous product, simple as that.",simply awful product taken market immediately absolutely nothing yr old dog teeth gave per week almost choked death th one awful dangerous product simple,Negative
"I would give it.  This hot sauce is the best hot sauce that has ever been made with human hands.  To compare this to Tabasco is an utter mockery, but that is the most common ""hot sauce"" that most Americans have experienced, so that is the one that I will compare it to.  Anyone that would try to genuinely compare the two should have a CAT scan done.  A 7 out of 10 as far as hotness, Tapatio can go on anything that you need to make spicy and tasty.  Try putting a couple of squirts of this Mexican nectar in a bag of Doritos and you WILL NOT be able to put them down.  Buy the 32 oz. size, you will not regret it!",would give hot sauce best hot sauce ever made human hands compare tabasco utter mockery common hot sauce americans experienced one compare anyone would try genuinely compare two cat scan done far hotness tapatio go anything need make spicy tasty try putting couple squirts mexican nectar bag doritos able put buy oz size regret,Positive
"Luckily this is available locally so I got to try it without ordering a whole case. I find it absolutely delicious. So far it got used to make a black rice with dried cranberry dish, very simple. Tomorrow a pumpkin curry soup, then I think a chicken curry the next day. I'm looking into making my own coconut milk so I don't have to worry about using a whole can before it goes bad, but meanwhile I am delighted with this brand in both taste and consistency.<br /><br />AND let me not forget to praise the manufacturer for resisting the temptation to add those poisons people think are preservatives (particularly sodium metabisulfite). I'd rather there were no guar gum, frankly, but was unable to find any without that at local supermarkets.",luckily available locally got try without ordering whole case find absolutely delicious far got used make black rice dried cranberry dish simple tomorrow pumpkin curry soup think chicken curry next day looking making coconut milk worry using whole goes bad meanwhile delighted brand taste consistency br br let forget praise manufacturer resisting temptation add poisons people think preservatives particularly sodium metabisulfite rather guar gum frankly unable find without local supermarkets,Positive
"This oatmeal is great.  I eat it almost every morning.  The brands in the stores I was buying had changed the texture and I did not like them anymore.  I coould not find an oatmeal I liked so I stopped eating oatmeal..... until I found out about McCann's. The cost is the same as in the store and with free shipping from Amazon, I don't lose out at all.",oatmeal great eat almost every morning brands stores buying changed texture like anymore coould find oatmeal liked stopped eating oatmeal found mccann cost store free shipping amazon lose,Positive
Satin Ice is the best tasting fondant I can find on the market.  It's a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant.,satin ice best tasting fondant find market little sticky types fondant keep sticking hands rubbing crisco hands working fondant,Positive
I bought this for my 73 year old dad he had seen it on a commercial and thought it looked like good stuff..he is very pleased with it,bought year old dad seen commercial thought looked like good stuff pleased,Positive
"I never saw this gift basket myself nor tried any goodies from it. I bought it to say ""Thank you"" to my business associate.<br />The recipient liked it, so I think I will purchase it again in the future. It is priced fairly and it is a nice way to express your gratitude.",never saw gift basket tried goodies bought say thank business associate br recipient liked think purchase future priced fairly nice way express gratitude,Positive
Unbeatable little tool for making shredded green papaya salad.  I use it to shred many different not-so-ripe fruits and veggies besides papaya. Better than the typical cheese grater for shredding because it doesn't bruise the fruit/veggie. I highly recommend this tool.,unbeatable little tool making shredded green papaya salad use shred many different ripe fruits veggies besides papaya better typical cheese grater shredding bruise fruit veggie highly recommend tool,Positive
"It sure would be nice if they stated ANYWHERE in the description of this coffee that it is flavored.  I love the Bed and Breakfast coffee, it's just plain coffee, so I was surprised when I received the Jamaica coffee and it was flavored.  YUCK!",sure would nice stated anywhere description coffee flavored love bed breakfast coffee plain coffee surprised received jamaica coffee flavored yuck,Positive
I had a salad in a restaurant for lunch and went crazy over the  roasted raspberry chipotle vinaigrette dressing. I decided  to recreate the salad myself at home. The salad dressing I found in my search on the internet was the Fischer & Wieser  Roasted Raspberry chipotle vinaigrette dressing. It is absolutely fabulous! I have made the salad  many times and for friends and have had to order extra bottles since I got them hooked on it too. This salad dressing will not disappoint and  deserves a five star review!,salad restaurant lunch went crazy roasted raspberry chipotle vinaigrette dressing decided recreate salad home salad dressing found search internet fischer wieser roasted raspberry chipotle vinaigrette dressing absolutely fabulous made salad many times friends order extra bottles since got hooked salad dressing disappoint deserves five star review,Positive
I was so happy to see this deal. I recently have been using alot of pumpkin. I was so excited to see an organic product that I could actually afford! I look forward to using it in many recipies.,happy see deal recently using alot pumpkin excited see organic product could actually afford look forward using many recipies,Positive
"Very hot, but smooth, great consistancy, for use with most Korean cusine. Just a dab will do, you don't want too much. This items is tasty, but extremely hot. Great side with most Korean dishes",hot smooth great consistancy use korean cusine dab want much items tasty extremely hot great side korean dishes,Positive
"Okay, I jumped the gun, because they were sending me the review information, before I received my chips, so I thought I would be honest, and indicate that I have not received them, and I wasn't happy about not receiving them. However overall, the service is not bad, and my chips are on the way.Sorry guys, they really are not bad people, I am just an impatient buyer... there, is that better?",okay jumped gun sending review information received chips thought would honest indicate received happy receiving however overall service bad chips way sorry guys really bad people impatient buyer better,Negative
"Disappointingly, this is IMITATION Almond Extract and a terrible value.  The $0.65/oz price is also quite deceiving and misleading.  That fact that this is an imitation product was not made clear in the description.  I bought this only because I needed a filler item to reach my free shipping, but will not make that mistake again.<br /><br />Comparatively, [...] currently is selling top quality 100% Pure Almond Extract for only $6.69/4 oz.  Lesson learned... the hard way.",disappointingly imitation almond extract terrible value oz price also quite deceiving misleading fact imitation product made clear description bought needed filler item reach free shipping make mistake br br comparatively currently selling top quality pure almond extract oz lesson learned hard way,Negative
"I've tried several brands and flavors of ground coffee from Amazon, and this is by far the.best.coffee.I've.had. I decided to write a review because last weekend my husband made me a latte, and it was yummy. I asked for a second one, and what he gave me was not what I had the first time. I asked him what was different, and he told me he used a different brand and flavor. He was really surprised that I could tell. The one that I LOVED was the Lavazza Crema e Gusto. Wow. What a difference. It's smooth and full bodied - okay, I'm full of crap. I have no idea what ""full bodied"" is other than a fat chick. But I can tell you this -- this coffee is tasty and you will not regret buying it.<br /><br />I bought it in January because there was a deal going on - $12 for 4 bricks. But here I am willing to pay $15 for 4 bricks (S&S price) less than 2 months later. I wish I had stocked up when it was cheaper, but who knew the coffee was going to be THAT GOOD! It's so worth even $18 for 4 bricks!",tried several brands flavors ground coffee amazon far best coffee decided write review last weekend husband made latte yummy asked second one gave first time asked different told used different brand flavor really surprised could tell one loved lavazza crema e gusto wow difference smooth full bodied okay full crap idea full bodied fat chick tell coffee tasty regret buying br br bought january deal going bricks willing pay bricks price less months later wish stocked cheaper knew coffee going good worth even bricks,Positive
"My dog is relatively picky when it comes to treats, but she loves these. They don't do much to help her doggy breath, but maybe over time they will help.",dog relatively picky comes treats loves much help doggy breath maybe time help,Positive
"I bought this item for my dog to play with. She was smart and can get out all the food in it. Initially I like it since it was entertaining for my dog. However, my dog quickly chewed open the rope - only the 3 time I used it.<br /><br />I think there is a problem with the design - it will be great if the rope can be replaced with some better material so it does not get chewed immediately.<br /><br />I asked some dog friends and they pointed out the same problemm. I would not recommend this item for dogs who chew. Well, most dogs chew, so...There are many other interactive toys that you can try.",bought item dog play smart get food initially like since entertaining dog however dog quickly chewed open rope time used br br think problem design great rope replaced better material get chewed immediately br br asked dog friends pointed problemm would recommend item dogs chew well dogs chew many interactive toys try,Positive
"This tea has a nice mellow taste.  It is not at all dusty and doesn't leave a bitter taste in your mouth, as is common with a lot of teas.  Will definately buy more in the future. The box is very nice and I would feel comfortable giving this as a gift.",tea nice mellow taste dusty leave bitter taste mouth common lot teas definately buy future box nice would feel comfortable giving gift,Positive
"This is THE best red curry, don't waste your time on the cheap imitators.  Mix with cocunut milk and real palm sugar + chicken and veggies and you will amaze your friend and families.  This is great red curry paste!",best red curry waste time cheap imitators mix cocunut milk real palm sugar chicken veggies amaze friend families great red curry paste,Positive
"I'd received a sample of Stash's English Breakfast Decaf with a previous order from Stash's website, and I knew it was good (for decaf tea, which is always missing something -- I think it's the caffeine.)  The price on this multipack was so good, that I could give a couple boxes away (which I did, cause I can't go through that much decaf tea in a year) and still save money over buying it in the supermarket.",received sample stash english breakfast decaf previous order stash website knew good decaf tea always missing something think caffeine price multipack good could give couple boxes away cause go much decaf tea year still save money buying supermarket,Positive
"I can't think of anything bad to say about this coffee. Every guest we have had enjoys it. I'm not much of a hazelnut person, but it tastes pretty good to me.",think anything bad say coffee every guest enjoys much hazelnut person tastes pretty good,Positive
"I ordered these when I found out the Morningstar Farms veggie dogs are no longer available.  After reading about 100 reviews, I decided to try this variety.  We have been vegetarian for 12 years, so I am used to the faux meats.  Some I like, some I don't.  I LOVED Morningstar Veggie dogs, they were my absolute favorite.  Most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them!  These Veja-dogs are OK on taste, but I do not like the texture.  It is A LOT like that of a hard boiled egg white.  When I first got one out of the can I did not want to even try one.  It was squishy and had tiny dark brown spots.  The syrupy stuff they are stored in really grossed me out too.  I have eaten about 5 now and am still not crazy about them.  My son however LOVES them.  He says they are his favorite.  I will try another Worthington veggie dog (Super Links or linkettes) before giving up on the ""canned"" dogs all together.  I hate onions, but I prefer the texture of the tofu dogs found in the grocery store.",ordered found morningstar farms veggie dogs longer available reading reviews decided try variety vegetarian years used faux meats like loved morningstar veggie dogs absolute favorite veggie dogs refrigerated section grocery store ton onion veja dogs ok taste like texture lot like hard boiled egg white first got one want even try one squishy tiny dark brown spots syrupy stuff stored really grossed eaten still crazy son however loves says favorite try another worthington veggie dog super links linkettes giving canned dogs together hate onions prefer texture tofu dogs found grocery store,Positive
"Edit: I've given this three stars vs my previous 1 star when I was told the can was not meant to brew tea in. I still would  prefer a ""total travel solution"", then it would have been 5 stars.<br /><br />Original Post: The can to brew the tea leaks. I sent the first one back thinking maybe it was defective. The second one leaked also. And, the can gets super hot, to the point of not being able to pick it up.  I also posted this review on the Teavana website, it has not been posted....just an FYI about neg reviews sent to them.",edit given three stars vs previous star told meant brew tea still would prefer total travel solution would stars br br original post brew tea leaks sent first one back thinking maybe defective second one leaked also gets super hot point able pick also posted review teavana website posted fyi neg reviews sent,Positive
"Lucy's Cinnamon Thins are crispy, yummy and entirely too tempting! They taste like snickerdoodles,and I can't quit eating them!",lucy cinnamon thins crispy yummy entirely tempting taste like snickerdoodles quit eating,Positive
"After a lot of research, i decided to switch my 3-yr old Doberman from Iams to Canidae and have been very impressed with the product. Samson LOVES this stuff too, with the Iams I had to entice him to eat by mixing it with canned food/tablefood, but with the Canidae, he eagerly wolfs it down by itself. And why not? The first 4 ingredients are all meats- human-grade at that! Besides having less ""filler"", Canidae uses no corn products, which is good for dogs with allergies (corn is a common allergen in dogs). Some may balk at the price, but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff. Besides, Canidae is considerably cheaper then most of the other top-shelf brands like Eagle Pack or Flint River. I'm just happy to be able to feed my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like Iams or Pro Plan. When you look at it like that, I believe it's one of the best values in pet nutrition on the market today.",lot research decided switch yr old doberman iams canidae impressed product samson loves stuff iams entice eat mixing canned food tablefood canidae eagerly wolfs first ingredients meats human grade besides less filler canidae uses corn products good dogs allergies corn common allergen dogs may balk price going use less food per day junk brands due high quality indredients stuff besides canidae considerably cheaper top shelf brands like eagle pack flint river happy able feed dog super premium grade food knowing much healthier bucks per bag mid grade food like iams pro plan look like believe one best values pet nutrition market today,Positive
"I bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread.  It is absolutely delicious and very healthy.  It's more like a jelly but I am willing to compromise given the nutritional value.  Real apple butter is higher in everything ... calories, fat, sugars, etc.  My next purchase will be a case of it!",bought apple butter change pace normal peanut butter laughing cow light cheese spread absolutely delicious healthy like jelly willing compromise given nutritional value real apple butter higher everything calories fat sugars etc next purchase case,Positive
"My cat loves this stuff! The nutrition is fair and it has alot of juice in the packet. It is a mixture of chunks of meat along with some shreads. It looks like real shreds of chicken. The sale price here at Amazon was awesome - less than half the price at my local stores for a whole case.<br /><br />I never have any trouble getting all of the food out of the pouch - it all slides right out. This particular flavor though for whatever reason does have a bit more product in the pouch and to make things easier when opening, I usually just cut the top off (to avoid any messes while tearing open) or, I tear from one side half way and then from the other side the rest of the way and the entire top comes off then. If there are any dribbles then, it is just a tiny bit on the side of the pouch and not on my hands at all and I do not get splattered with it. For some reason, the top usually never tears cleanly the whole way across if you try to tear it from one side only and it can be a little messy if you're in a hurry. It is not like it makes a huge mess though anyway, just a few drips here and there maybe. Cutting the top off instead of tearing it solves that though.<br /><br />The other Whiskas pouches that I like to use are the Choice Cuts varieties. They have nice big chunks in them instead of a bunch of mush or all shreds. My cat likes the chunkier ones better.",cat loves stuff nutrition fair alot juice packet mixture chunks meat along shreads looks like real shreds chicken sale price amazon awesome less half price local stores whole case br br never trouble getting food pouch slides right particular flavor though whatever reason bit product pouch make things easier opening usually cut top avoid messes tearing open tear one side half way side rest way entire top comes dribbles tiny bit side pouch hands get splattered reason top usually never tears cleanly whole way across try tear one side little messy hurry like makes huge mess though anyway drips maybe cutting top instead tearing solves though br br whiskas pouches like use choice cuts varieties nice big chunks instead bunch mush shreds cat likes chunkier ones better,Positive
"I'm not generally a fan of hot sauces.  However, when I initially came across this in a diner I gave it a sniff, and it smelled promising.  It was quite good with my steak that morning.  Now that I have it at home, I will admit it's a touch salty, but the flavor is quite savory in comparison to your run-of-the-mill hot sauces.",generally fan hot sauces however initially came across diner gave sniff smelled promising quite good steak morning home admit touch salty flavor quite savory comparison run mill hot sauces,Positive
"I recently bought some of this at a local market.  I decided to try it because for quite some time now I have purchased Morton's Light Salt to cut down on the some of the sodium I take in.  This Diamond Crystal blend is not only cheaper than the Morton's for a generous amount more, but it also taste better in my opinion.  Like the Morton's, it contains a full one third less sodium.  But where the Morton's uses the popular substitute Potassium Chloride that has a slight metallic taste to it, the main substitute ingredient in this Diamond Chrystal blend is Silicon Dioxide, which to me has a much more natural salt taste.  I prefer it over the potassium chloride, and as already mentioned, you get more for your money with this blend making it a sure deal. It took me no time at all to get used to it, and I use it in my cooking as well as in the shaker as well.  If you have trouble finding it locally, I suggest you pick it up by the case here on Amazon and you will be set for a year or more.  A real good salt substitute, (that does contain real salt as well) that I recommend...",recently bought local market decided try quite time purchased morton light salt cut sodium take diamond crystal blend cheaper morton generous amount also taste better opinion like morton contains full one third less sodium morton uses popular substitute potassium chloride slight metallic taste main substitute ingredient diamond chrystal blend silicon dioxide much natural salt taste prefer potassium chloride already mentioned get money blend making sure deal took time get used use cooking well shaker well trouble finding locally suggest pick case amazon set year real good salt substitute contain real salt well recommend,Positive
"If you're looking for a yummy treat for your cat, try these.  After trying both the chicken and salmon flavors, my cats greatly preferred the chicken.  In fact, they love them.  These treats are 100% white-meat chicken, so you'll be giving your cat a truly healthy treat instead of one that's loaded with carbs and fat.  I will definitely buy these again.",looking yummy treat cat try trying chicken salmon flavors cats greatly preferred chicken fact love treats white meat chicken giving cat truly healthy treat instead one loaded carbs fat definitely buy,Positive
This is my favorite tea.  It has that lovely flavor and aroma of Ceylon tea.  I drink way too many cups of it each day!  I only wish they had a decaf version.,favorite tea lovely flavor aroma ceylon tea drink way many cups day wish decaf version,Positive
I LOVE MY FROG GUMMY CANDY...I even shared it with the grand kids (even though I DON'T normally share with anyone).,love frog gummy candy even shared grand kids even though normally share anyone,Positive
"I like this product enough that I used to buy at least a bottle a week locally - mostly to flavor my mineral water and ice tea, while adding some Vitamin C. I was scared to mail-order a 12-pack of glass bottles filled with liquid. I envisioned disaster. Not to worry. They were set in a special foam spacer insert and well-protected. They all arrived intact. The package was still easy to open. The price is really good. I would not hesitate to order again. Good job!",like product enough used buy least bottle week locally mostly flavor mineral water ice tea adding vitamin c scared mail order pack glass bottles filled liquid envisioned disaster worry set special foam spacer insert well protected arrived intact package still easy open price really good would hesitate order good job,Positive
"I've noticed that with a lot of products on the market today- cereals and snack items like these soynuts, the quality of the food is increasingly subpar, i.e. there are almost always a few grains or other items/detritutus in the package that should not be there. A few of these beans, for example, look like they were dried w/ tiny black spots from dirt or perhaps insects? Some might attribute this to the fact that these beans are a product of China and while I do not think that its origins are the primary source of the problem, it might explain in part the low quality of the edamame. These green babies are tasty enough although the punch of the wasabi is low. Texture is reminiscent of freeze dried food but more solid. For me, the sodium level is just about right but I happen to believe that most products are too salty and that high sodium levels may have as much to do with American's expanding waist lines as HFCS. But back to the product at hand- would I order these again? Maybe, but I am more careful about each bean I pop into my mouth now. As a highly allergy sensitive individual, I can't afford to down bad beans no matter how tiny the black dots are.",noticed lot products market today cereals snack items like soynuts quality food increasingly subpar e almost always grains items detritutus package beans example look like dried w tiny black spots dirt perhaps insects might attribute fact beans product china think origins primary source problem might explain part low quality edamame green babies tasty enough although punch wasabi low texture reminiscent freeze dried food solid sodium level right happen believe products salty high sodium levels may much american expanding waist lines hfcs back product hand would order maybe careful bean pop mouth highly allergy sensitive individual afford bad beans matter tiny black dots,Negative
I planted mine in a separate area next to my yellow and mixed color sunflowers and they never sprouted. (shrugs)  I wonder if I got an old batch of seeds.,planted mine separate area next yellow mixed color sunflowers never sprouted shrugs wonder got old batch seeds,Neutral
We recommend buying the coffee pods through Amazon. They cost less than at the manufacturer's site.,recommend buying coffee pods amazon cost less manufacturer site,Positive
"With a legendary name like Gevalia, I was disappointed to find that the coffee contains artificial flavors.  The outside packaging looks gourmet and epicurean, with gold lettering.  Unfortunately, artificial flavoring also plainly occupies the front face.<br /><br />The aroma from the coffee is quite pleasant, however, after brewing, the coffee itself is nothing to write home about.  In fact, it tasted rather bitter.<br /><br />I would not buy this item.",legendary name like gevalia disappointed find coffee contains artificial flavors outside packaging looks gourmet epicurean gold lettering unfortunately artificial flavoring also plainly occupies front face br br aroma coffee quite pleasant however brewing coffee nothing write home fact tasted rather bitter br br would buy item,Negative
My bishon/shitzu puppy loves these. They don't last as long as a rawhide more like a treat. The mini size are perfect for her!,bishon shitzu puppy loves last long rawhide like treat mini size perfect,Positive
"I drank this tea at least 4 days a week during the last 6 weeks of my pregnancy.  I wish I did it the entire last trimester and everyday!  I had a 6 hour natural labor and delivery and I only pushed for 15 minutes.  My contractions, even at their most intense, only felt like strong menstrual cramps.  I brewed my tea double strength and then drank it with lemonade.  Delicious and refreshing!  Even on it's own as a hot tea, it's pretty palatable.  My last trimester was in the summer though, so I always drank it iced.  I also used Evening Primrose Oil suppositories for the last 5 weeks. I really believe that these two factors are the main reason why my labor and delivery was so fast and EASY!",drank tea least days week last weeks pregnancy wish entire last trimester everyday hour natural labor delivery pushed minutes contractions even intense felt like strong menstrual cramps brewed tea double strength drank lemonade delicious refreshing even hot tea pretty palatable last trimester summer though always drank iced also used evening primrose oil suppositories last weeks really believe two factors main reason labor delivery fast easy,Positive
"These taste really great in smoothies! They add a creamy texture and a bit of a nutty flavor. What a great way to add protein to a veggie diet! Love them. They arrived fresh and packed nicely. If I ever run out of my 3 lb, I will order again from this seller.",taste really great smoothies add creamy texture bit nutty flavor great way add protein veggie diet love arrived fresh packed nicely ever run lb order seller,Positive
"I bought the jumbo-size bars and love being able to help myself to one at home whenever I'm in the mood.  It's that combination of sweet caramel center and salty, crunchy peanut coating that does it for me.  The boxful arrived promptly and the contents were fresh and delicious, but since every bar is wrapped in plastic, they stay fresh too.  Really a fun buy.",bought jumbo size bars love able help one home whenever mood combination sweet caramel center salty crunchy peanut coating boxful arrived promptly contents fresh delicious since every bar wrapped plastic stay fresh really fun buy,Positive
"We love Crystal Light Fruit Punch.  Granted, this is a LARGE amount of punch but works great when mixed in a very large container.  Nice price.",love crystal light fruit punch granted large amount punch works great mixed large container nice price,Positive
